ray,radius_kpc,ref_accel_mag,ref_selfconv_rel_l2,galax-50_rel_l2,galax-50_angle_deg,galax-100_rel_l2,galax-100_angle_deg,galax-200_rel_l2,galax-200_angle_deg,galax-500_rel_l2,galax-500_angle_deg,galpy-50_rel_l2,galpy-50_angle_deg
x-axis,0.001,0.023965361303347463,1.8313307855732128e-13,1.574133767893709e-11,0.0,1.5739745217384416e-11,0.0,1.574770752514778e-11,0.0,1.5729756140372196e-11,0.0,7.108169294202467e-14,0.0
x-axis,0.001211527658628589,0.029033170203505237,1.8175861529869654e-13,1.5741538878820743e-11,0.0,1.5739985386382294e-11,0.0,1.574835034566626e-11,0.0,1.573018643407822e-11,0.0,7.181915042375837e-14,0.0
x-axis,0.0014677992676220691,0.03517177197407703,1.8347586625401694e-13,1.574222932459754e-11,0.0,1.5740651037576e-11,0.0,1.5748739758561395e-11,0.0,1.573058945781368e-11,0.0,7.220663123546507e-14,0.0
x-axis,0.0017782794100389228,0.042606744004556676,1.848450231280515e-13,1.5740815877003404e-11,0.0,1.5739024427440047e-11,0.0,1.5747167380000757e-11,0.0,1.5729090025315984e-11,0.0,7.068082822695082e-14,0.0
x-axis,0.0021544346900318843,0.0516106602786163,1.8526784482050312e-13,1.5740775570318492e-11,0.0,1.5739162207373756e-11,0.0,1.5747363469009498e-11,0.0,1.5729347582793278e-11,0.0,7.112241648045306e-14,0.0
x-axis,0.0026101572156825357,0.06251247360395802,1.8292824606628566e-13,1.5740265173051163e-11,0.0,1.573848917066217e-11,0.0,1.5746703181711263e-11,0.0,1.5728721157522707e-11,0.0,6.993009406661472e-14,0.0
x-axis,0.0031622776601683794,0.07570844901058002,1.8000616582921775e-13,1.5742474060673965e-11,0.0,1.5741007615331158e-11,0.0,1.5749073064716584e-11,0.0,1.5730742497931527e-11,0.0,7.222243313312074e-14,0.0
x-axis,0.003831186849557285,0.09167464152539505,1.8317086348028734e-13,1.5742097597783942e-11,0.0,1.5740432408115937e-11,0.0,1.5748606975577044e-11,0.0,1.5730441270107922e-11,0.0,7.190591748194415e-14,0.0
x-axis,0.004641588833612777,0.11098065333522383,1.8206830146458533e-13,1.5741780402799744e-11,0.0,1.5740279839875584e-11,0.0,1.574815779522742e-11,0.0,1.573015104013751e-11,0.0,7.152683271824297e-14,0.0
x-axis,0.005623413251903491,0.13430389894114278,1.8785618610862992e-13,1.5739413788818418e-11,0.0,1.5737967151521653e-11,0.0,1.574602698788935e-11,0.0,1.5727840690444288e-11,0.0,6.923192777382051e-14,0.0
